,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1992-12,0.997828438892741,1.0,1.0,0.999999999837581,1.9038332491547705e-96,0.9999999999995053,0.9999998911822725,1.3411756177097646e-06,0.9999999986697441,1.0,0.9911740704787613,0.9999992611564099,0.9894725397040374,0.9987336103486566,0.8533333388822092,0.0006824692345099855,0.008992084066738733,0.04414456554381974,0.9998498297059875,0.9904919650352715,1.0,0.999999999999869,0.9547750562177624,0.9242228467690071,0.01294326293524253,0.9988492501622589,0.24976589655671058,0.987763428048315,0.9999999929873284,0.9999999999872007
1993-01,0.9982406240268807,1.0053669116690631e-11,0.9999999798925336,0.999999971665305,2.456709487292881e-59,0.0007746955453790196,0.9999999999965454,0.0001465874220283612,0.9999999999999836,1.0,0.00033804826410092545,0.94846013839656,0.36637214275883045,0.9988505145772355,0.9868515605463476,1.0,1.0,3.3856403454164444e-36,0.9999999999150293,0.013799948584990554,0.9999671534489658,0.9999999998958229,0.9999999999999982,0.9999999371669819,0.9999926962967638,1.0,0.00028548783071279116,4.334252685766292e-30,0.9999909689909523,0.999380978331126
1993-02,0.9976085552112167,9.950409719726469e-18,1.0,0.9999999999984373,6.05271824456341e-54,0.9999997874030955,1.6980289256138809e-06,0.9999998836715651,0.9999999999938305,0.9999999999907674,4.149627150668102e-07,0.9999999999688851,1.932701095605445e-06,1.0,7.542152562961067e-13,1.0,1.0,1.057072811638625e-32,0.9943199520767397,0.0035578771102438246,0.8105215117769632,0.9999997549539281,0.9997073495080454,0.9999998830239305,1.2864059018703413e-07,0.9999999999999822,7.289190683857415e-80,0.0001745670791833608,0.9939581422302634,0.9994228308706877
1993-03,0.7173048813740022,3.830538230432059e-05,0.9999999999854299,0.9999999953905048,0.99972327198978,1.1873719717289116e-06,1.0,4.105856660152128e-19,4.9392169909719975e-06,0.9999999977545735,0.9999844351464275,0.9999999998786238,0.9999999999637557,2.7662658009680985e-21,0.9999997000460278,0.9999999999999969,1.0,2.1015990400128485e-39,0.999999999697166,8.405047848774606e-05,0.9999999999907743,1.2016361956237835e-11,1.5330655878389474e-38,1.0,1.0,1.0,1.0,0.00020625809960634722,1.3225547696492442e-43,0.9999999942194007
1993-04,0.9999990478428408,0.9999999967135791,1.0,1.3043138080726813e-19,0.9999999999998983,0.9989184716816646,1.0,0.9999999854794238,0.032700825305015065,0.9999999990996842,2.0297062111632043e-05,1.0,0.00027134246850725387,5.637598986900969e-16,0.9998247721968986,0.9999996482159367,1.0,0.014357236947154661,1.0,0.9999999998319917,0.9999426713665466,1.0,0.9999999999999978,0.9999994843244002,1.1425142657853425e-08,0.9999999999999991,0.9999999794745777,4.052472102763952e-45,0.015138613181275847,6.3432183535492345e-06
1993-05,4.1015523391211865e-06,2.1311111381378676e-20,2.3971755094530773e-17,0.9999994333472568,0.9999999999996805,0.9999999445207353,1.0,0.9999946705426611,0.9999999999999998,1.0,1.0,0.999999996535968,0.9996175304122126,1.0,0.9669837053191143,0.9999997838964363,1.0,1.9470936413544425e-32,1.0,0.9673873633675503,0.9987920089930762,1.0,0.999999999999992,1.0,0.01624922712906156,1.0,0.036195115292963716,0.9999919714749348,0.9999999999934586,0.9988784604758292
1993-06,0.9999919475503427,0.9999980715036051,0.9983616916349037,0.9999999998280635,1.2405240525863332e-31,0.16193284629330187,1.0,1.258670803469383e-07,0.9999999999993427,0.9999999999999991,0.9799149362421335,0.0024897312945240196,0.999999535014598,4.6850527608467585e-06,0.00018062520756623345,1.0,0.9999999999961982,1.0,5.375263369527841e-05,0.9997764002978259,0.999999931453715,0.9444963685596466,0.9999999933485675,0.99969085197262,0.9999977899648079,1.0,0.9999875187608213,0.999999315020902,0.9999999993906137,0.9988589497101246
1993-07,0.9999810966453322,1.0,0.9999999997147149,0.9999999997658566,0.9999953435106396,0.9999993749873489,0.9999999995712909,1.2058005680303426e-11,0.9999999933966832,0.9999999999999998,0.9979432532965081,0.044614356144454206,0.9989610422923778,1.0,2.5754611998171296e-11,3.361255358355905e-20,1.0,1.0,1.0,0.999998529293698,0.9999863631745612,0.999839274713591,1.0,0.9999999780655562,0.1669948442073403,0.9999999982334575,0.9999999733904973,0.029640534171394527,0.9999999997860987,0.9958496300822745
1993-08,0.9999896791140024,1.0901850373000466e-22,0.9999997395865609,0.9999936928282593,6.020411557494786e-44,0.9999999935748236,2.927731468298774e-11,4.89710135465662e-28,1.0,0.9999999939240831,0.028186911279577898,0.9879436830741753,0.9998881237585907,0.9999999999996145,0.000939083720720157,0.9999974499300508,0.999999997762917,0.9999999988272854,1.0,0.007796832407142262,0.0008560244902204565,0.9999989409559541,0.9997720954833884,1.0,1.0,0.9999443327700787,2.0299539213236293e-06,1.0,0.9999950597483243,0.9999999996230828
1993-09,0.8233220925618437,1.5684557000492577e-35,1.0,1.0,1.0,4.836296363673637e-07,0.9999978475917218,4.9674830008214874e-05,2.764274658922324e-22,0.01751598306633342,1.459891570271128e-26,0.00014733123544959851,0.9999478650812995,3.193497106627303e-11,3.990488216865734e-15,0.9999999856205574,0.9999999999999987,1.3754297376660575e-09,0.9999999998649276,2.8310122815204895e-06,0.05508064859618297,1.0,0.5491315843126081,0.013429794292659801,0.012609479293436475,0.18570593566490307,0.9999999357454764,1.4880012371973492e-18,6.9323997931569585e-25,3.085275595727417e-15
1993-10,0.00614990804523958,2.0249195371616887e-119,4.066678095476795e-05,4.599043488130612e-11,1.216800716903792e-13,4.412842501183277e-35,1.0,2.4373902186709517e-41,1.7226184966700843e-08,1.0,1.4685062007624604e-08,0.9999105866390434,8.201874033648201e-13,3.4027272351228997e-29,0.9999999999749671,0.9999999997481634,5.215717121860745e-06,0.9999999999995806,1.0,0.005686822744118144,0.9999999789316922,0.9999999975188956,5.087106699314183e-05,1.8566429450636543e-23,0.4375778715899098,0.9999998525000884,2.1897645674956825e-131,1.9488102497789164e-63,2.651240561014867e-06,0.9980042209735478
1993-11,2.0484907720895628e-07,1.0,1.6630954195953178e-12,1.7608939918121378e-24,1.4738372129725116e-76,0.9999999999830416,1.0,0.9999988832726259,0.9999999999999956,1.0,0.9999924396689438,7.207843477051466e-05,0.9999999996199809,0.999999999999976,5.687416645454339e-16,0.9999999999999873,1.0,0.9990595258757466,0.0032080965438508746,2.317052637637054e-09,0.9999857771983526,1.0,0.9999988981255581,0.9999998241818847,2.3355222553288494e-28,1.0,3.9706686633197354e-08,2.0146172296377344e-33,0.9999966096010757,0.9983268275293594
1993-12,0.9999999016560501,1.799433459623997e-05,0.9999593999830675,0.999999999124942,1.0,0.9999999999624185,1.0,0.999962847628442,0.9999999999999951,0.9999999999573106,0.9998842722443049,0.9999998214807384,1.311271706415694e-07,2.130781470052544e-11,0.11743247599279,1.0,1.0,0.9999999999987228,1.0,0.9639910461541301,0.9999998778511145,0.999892388402082,0.9999999999941855,2.3343999123024872e-20,0.9999977075594488,0.9999917983997448,0.9999995660899721,1.2470921597553604e-16,0.9999999576187373,0.9996208318785703
1994-01,0.9991167786147793,1.3315550190932946e-10,1.0,0.9999903714042097,6.469169464642666e-05,0.1181926986940491,0.9973697669984468,2.6778417616502353e-16,0.06145206369476811,0.999999999852383,0.9999998406869326,0.04378019538174974,0.9999999999534439,1.0,0.9967264585888993,0.9999999999999933,1.0,1.816897100010711e-17,0.9999999998702265,0.9999999965436674,0.9721149618501522,2.2229841346118415e-05,0.9999999996320701,0.9999999942430269,1.0,0.9999999999993068,0.9999999999757176,0.979375541674527,0.9997546513481568,2.3721806159117015e-08
1994-02,0.9999866132430939,0.9999999988154675,1.0,0.999999928082646,0.9999999999999218,0.999995231142255,1.0,1.0,0.9999916659259905,0.9999999999983238,2.2252807895820208e-26,0.03771691684167183,0.05136919318805546,1.0,0.9999999999602387,0.9999995503021756,1.0,4.267308880665764e-15,1.0,0.9999993971462066,0.9999998470666577,0.5170835201278458,0.9999999999999221,1.1607679929557393e-07,1.0,1.0,1.0,1.0,0.9999999858878904,1.1418654809984176e-09
1994-03,0.9924019776422656,1.0,1.0,0.9999999905587025,5.074872880360038e-72,0.9999999999999998,0.021277245009929033,1.2894404154902058e-33,2.8753708057512305e-05,6.649415188862097e-12,6.092319872878426e-08,3.4460622266957697e-06,0.9872521814721068,7.865082432990691e-14,1.0,0.9999999999999998,1.0,1.0,0.9999999989085537,1.0358507201495113e-06,0.9999759062867972,2.0475578870815483e-20,9.124187074015147e-12,6.9896662778408705e-06,1.0,0.9999999999105786,7.92729261113575e-08,1.0,0.0003832180548709887,8.058946111461161e-15
1994-04,1.8738568986235442e-27,1.7159478424746801e-13,0.9999999946746241,0.7131677010342843,1.0,0.20090560175071417,1.0,0.1524741097029437,0.9999999999958293,0.9999999999747788,4.455521180388078e-11,0.0010199484362343543,3.854850375996602e-27,1.0,0.9999999991629482,1.0,1.0,0.00010020953209159296,1.0,0.9991534734680931,0.1796101693564339,1.0,0.9999999407510363,6.050858212953085e-13,5.9185826313826665e-28,0.9999999999993814,0.9999999999999909,1.1722070673089482e-06,0.9994102793881131,0.11370846105890314
1994-05,0.9999997771998435,0.9999919779451693,1.8410273109250445e-06,0.9999814768401147,1.0,0.9999998314264338,1.0,0.9999987059463205,0.9999999999999987,0.9999999999133506,1.0,2.526546974726878e-14,0.9770738194426185,0.9999999999999998,0.9999981276699548,1.0,1.0,1.0,4.0866878070069886e-11,1.261433042983454e-08,0.0234436627528198,0.9999999981026471,0.9999992166622466,0.999999994281989,2.778644773696458e-27,0.9999999718300177,0.9998003840782617,1.0,0.984720439890198,0.9999740362347136
1994-06,0.9997890480893132,1.0,0.9999999886538542,0.737551767655678,0.9999999999999774,1.6031830774014902e-09,0.9999999999999998,6.361705893266651e-13,1.5242441815229697e-07,1.0,1.0,3.1957882917832405e-05,0.21006647161276026,0.9999667250790099,0.9999997145139833,1.6008895527185163e-05,1.0,0.00034033500504743896,1.0,0.9990974226452839,2.8483198424598995e-07,0.9737579058194945,0.999999999999996,0.9999999962463408,7.828684560344953e-20,0.026995661777860853,0.999999434436264,0.9999999999998388,0.8846460455314519,0.9999976771191943
1994-07,0.016781475097472652,0.7338431659538248,0.9999999143642774,3.2527920482288415e-22,5.975420507920597e-21,3.894208373981643e-23,1.0,0.9999999999999845,0.04486224973037421,1.0,1.0,0.9710447173458131,5.2340833386538496e-17,1.0,0.999999999999093,0.0022092226148178198,0.9999999998506948,1.0,1.0,0.9938686953800367,4.065794862789242e-08,3.1425501458308056e-05,0.999999664265685,3.815722454663952e-05,4.162689074284318e-43,0.9999994109240341,1.0,1.0,5.521579524645027e-10,5.899823994248906e-19
