mktrf,smb,hml,rmw,cma,rf,umd,dateff
-0.016000,-0.000500,0.016900,-0.000900,0.005700,0.00480,-0.001100,1975-12-31
0.121600,0.063400,0.086300,-0.017900,0.022800,0.00470,0.044500,1976-01-30
0.003200,0.079900,0.058700,-0.026400,0.038700,0.00340,0.003800,1976-02-27
0.023200,-0.013800,-0.001200,-0.003300,0.009600,0.00400,0.001500,1976-03-31
-0.014900,0.000800,-0.001600,0.004000,-0.011000,0.00420,0.005900,1976-04-30
-0.013400,-0.011000,-0.013600,0.024600,-0.014100,0.00370,-0.011200,1976-05-28
0.040500,-0.010700,0.007100,-0.006800,0.010200,0.00430,-0.004200,1976-06-30
-0.010700,0.006300,0.017300,-0.010500,0.002800,0.00470,-0.001300,1976-07-30
-0.005600,-0.019800,0.008100,-0.004200,-0.005500,0.00420,-0.008500,1976-08-31
0.020700,0.001000,-0.002900,0.009800,-0.011500,0.00440,0.002200,1976-09-30
-0.024200,0.001300,-0.001800,-0.001900,-0.003700,0.00410,-0.004400,1976-10-29
0.003600,0.026600,0.015100,-0.014100,0.000900,0.00400,0.029100,1976-11-30
0.056500,0.036400,0.022700,-0.006100,0.022800,0.00400,0.007300,1976-12-31
-0.040500,0.059000,0.042700,-0.005100,0.019700,0.00360,0.040000,1977-01-31
-0.019400,0.010700,0.004700,-0.001600,-0.002200,0.00350,0.003600,1977-02-28
-0.013700,0.013100,0.010900,-0.003000,-0.000600,0.00380,0.005500,1977-03-31
0.001500,0.006100,0.033800,-0.020100,0.011400,0.00380,0.042100,1977-04-29
-0.014500,0.013100,0.008500,0.003300,0.001900,0.00370,0.020300,1977-05-31
0.047100,0.020800,-0.007400,0.009100,-0.012000,0.00400,0.016600,1977-06-30
-0.016900,0.018800,-0.005600,0.007300,0.000900,0.00420,0.003200,1977-07-29
-0.017500,0.008600,-0.027000,0.009800,-0.006600,0.00440,-0.017000,1977-08-31
-0.002700,0.014300,-0.005200,0.014300,-0.008400,0.00430,0.020000,1977-09-30
-0.043800,0.014800,0.017500,-0.002000,-0.003000,0.00490,-0.000800,1977-10-31
0.040000,0.036400,0.002600,-0.001300,0.007300,0.00500,0.020100,1977-11-30
0.002700,0.015900,-0.002900,0.009200,-0.006900,0.00490,0.015800,1977-12-30
-0.060100,0.027200,0.033600,-0.017200,0.015200,0.00490,-0.006600,1978-01-31
-0.013800,0.037000,0.008300,0.003000,0.010100,0.00460,0.019700,1978-02-28
0.028500,0.037100,0.011800,-0.005900,0.018900,0.00530,0.013700,1978-03-31
0.078800,-0.002600,-0.035400,0.028100,-0.012600,0.00540,0.008600,1978-04-28
0.017600,0.045800,-0.005200,0.002200,0.004100,0.00510,0.028300,1978-05-31
-0.016900,0.015600,0.005700,-0.014000,-0.000700,0.00540,0.027400,1978-06-30
0.051100,0.001200,-0.011500,0.015500,-0.007800,0.00560,0.041700,1978-07-31
0.037500,0.049500,-0.005100,0.014300,0.004600,0.00560,0.028300,1978-08-31
-0.014300,-0.003200,0.018900,-0.006700,0.017800,0.00620,-0.031400,1978-09-29
-0.119100,-0.100200,0.013800,0.001200,0.009400,0.00680,-0.084600,1978-10-31
0.027100,0.028100,-0.021500,0.011300,-0.011700,0.00700,0.054500,1978-11-30
0.008800,0.011300,-0.021300,0.020100,-0.013200,0.00780,0.030300,1978-12-29
0.042300,0.037800,0.021900,-0.024700,0.015200,0.00770,-0.013600,1979-01-31
-0.035600,0.005400,0.011700,-0.011200,0.009400,0.00730,-0.010600,1979-02-28
0.056800,0.032400,-0.007100,0.005300,0.003200,0.00810,0.029300,1979-03-30
-0.000600,0.023700,0.011200,0.010800,0.001700,0.00800,0.008100,1979-04-30
-0.022100,0.001800,0.013100,-0.015400,-0.002700,0.00820,-0.005400,1979-05-31
0.038500,0.010000,0.014400,-0.016600,-0.005200,0.00810,0.008400,1979-06-29
0.008200,0.012700,0.018600,-0.002900,0.007100,0.00770,-0.010700,1979-07-31
0.055300,0.019200,-0.015800,0.016200,-0.014800,0.00770,-0.002000,1979-08-31
-0.008200,-0.003200,-0.009000,0.010100,0.003200,0.00830,0.052800,1979-09-28
-0.081000,-0.035000,-0.018400,0.010100,0.000700,0.00870,0.020100,1979-10-31
0.052100,0.025300,-0.032900,0.000600,-0.021200,0.00990,0.081400,1979-11-30
0.017900,0.043200,-0.021000,-0.007000,-0.009200,0.00950,0.047800,1979-12-31
0.055100,0.018300,0.017500,-0.017000,0.016400,0.00800,0.075500,1980-01-31
-0.012200,-0.015700,0.006100,0.000400,0.026800,0.00890,0.078800,1980-02-29
-0.129000,-0.069300,-0.010100,0.014600,-0.011900,0.01210,-0.095500,1980-03-31
0.039700,0.010500,0.010600,-0.021000,0.002900,0.01260,-0.004300,1980-04-30
0.052600,0.021100,0.003800,0.003400,-0.003100,0.00810,-0.011200,1980-05-30
0.030600,0.014100,-0.007600,-0.001500,-0.012600,0.00610,0.016200,1980-06-30
0.064900,0.038200,-0.064100,0.040600,-0.024300,0.00530,0.003900,1980-07-31
0.018000,0.042500,-0.026000,0.020600,-0.008600,0.00640,0.032100,1980-08-29
0.021900,0.006700,-0.045900,0.019100,-0.027600,0.00750,0.053900,1980-09-30
0.010600,0.023300,-0.027600,0.016500,-0.011500,0.00950,0.073000,1980-10-31
0.095900,-0.033100,-0.083300,0.045000,-0.056600,0.00960,0.152200,1980-11-28
-0.045200,-0.002900,0.027900,-0.012900,0.012400,0.01310,-0.066800,1980-12-31
-0.050400,0.032900,0.067200,-0.035100,0.043300,0.01040,-0.079500,1981-01-30
0.005700,-0.005000,0.010200,0.002100,0.022200,0.01070,-0.013500,1981-02-27
0.035600,0.030200,0.006400,-0.022400,-0.005400,0.01210,0.007400,1981-03-31
-0.021100,0.045900,0.022800,0.008300,0.012400,0.01080,-0.009100,1981-04-30
0.001100,0.024500,-0.004200,0.003000,-0.015300,0.01150,0.037000,1981-05-29
-0.023600,-0.009600,0.051300,-0.013700,0.026600,0.01350,-0.058100,1981-06-30
-0.015400,-0.020500,-0.005000,0.012600,-0.025400,0.01240,-0.024500,1981-07-31
-0.070400,-0.018100,0.047600,-0.003200,0.014100,0.01280,-0.011500,1981-08-31
-0.071700,-0.024500,0.051700,0.000800,0.026300,0.01240,0.019500,1981-09-30
0.049200,0.023700,-0.042100,0.031500,-0.030100,0.01210,0.040100,1981-10-30
0.033600,-0.015100,0.018300,0.000800,0.009500,0.01070,-0.002700,1981-11-30
-0.036500,0.012000,0.008100,0.002200,0.025000,0.00870,0.013000,1981-12-31
-0.032400,-0.011400,0.031900,-0.014900,0.019200,0.00800,0.017200,1982-01-29
-0.058600,0.003500,0.060500,-0.034800,0.045600,0.00920,0.048800,1982-02-26
-0.018700,-0.000500,0.038100,-0.013800,0.024900,0.00980,0.029600,1982-03-31
0.032700,0.010900,-0.027000,0.015700,-0.000100,0.01130,-0.004000,1982-04-30
-0.039900,0.006400,0.017500,0.008700,-0.003000,0.01060,0.025000,1982-05-28
